,utterance,classes,prompt,bigscience/T0pp
189,what are the age requirements for opening an account?,"['opening account', 'age requirements', 'opening account']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",age requirements opening bank account.... and bank
190,will i be able to open an account for my daughter,"['open account', 'open daughter']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",open account for daughter? open daughter's account?
191,how old do i need to be to open an account?,"['open account', 'open account']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",set up account open account online.sg
192,what age can sign up for services?,['sign services'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",sign services up for services at what age can you become a citizen
193,how old do my kids have to be to use your service?,"['use service', 'use service']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",use service. (2019). Kids.com.
194,what age do my kids need to be to use your service?,"['use service', 'use service']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",use service.. ages of kids to use my service
195,how old do my children need to be to open an account?,"['open account', 'open account']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",open account. my children need to be at least 15
196,how old does my kids need to be to open an account?,"['open account', 'old need', 'open account']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",need open account old need..?
197,how young can someone be in order to open an account?,"['open account', 'open account']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",set up account with bank robert
198,what is the youngest someone can be to open an account?,"['open account', 'open account']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",open account. open a bank account online.
199,how old does one have to be to have an account with the bank?,"['have account', 'have bank']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",have bank have account.#34434
200,how do i get my pin unlocked?,['unlocked pin'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",get my pin unlocked.. thanks.
201,where can i view my pin?,"['view pin', 'view pin']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",view pin or pin view. Click to learn more
202,will you reinstate my pin?,"['reinstate pin', 'reinstate pin']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",give pin to someone..or take it.
203,i accidentally blocked my pin how do i reset it?,"['reset pin', 'reset pin']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",reset pin.php?option=com_k2&view=item&id=1
204,how do i unblock my pin after entering it wrong too many times?,"['entering pin', 'many times', 'entering times']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",times entering pin. i am trying to find the solution to my pin
205,i used the wrong ping too many times and now the account is blocked  how do i unblock?,"['used ping', 'many times', 'unblock account']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",use the wrong ping too many times and now the account is blocked how do i unblock.
206,i need help because i drunken blocked my card?,"['blocked card', 'blocked card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",blocked card..i need help because i drunken blocked my card
207,how do i reset my pin i can't seem to use my card?,"['use card', 'use card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",reset pin card i can't seem to use my card.
208,when i put the wrong pin too much i got blocked so can you help me unblock my pin,"['unblock pin', 'wrong pin', 'unblock pin']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",unblock pin wrong pin? Answer not in context
209,my pin was blocked how do i make it so i can use it?,"['use ', 'use pin']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",use pin.. my pin was blocked how do i make it so...
